metric,algorithm,region,input_combo,dataset,region_metric,general_metric
MAE,GPR,Mediterranean,14,test,0.23657456785416503,0.2613975492226754
MAE,GPR,Mediterranean,14,train,0.18383707201157898,0.2895270193867271
MAE,GPR,Southeastern Anatolia,14,test,0.258540566241167,0.22700945033511463
MAE,GPR,Southeastern Anatolia,14,train,0.15588106684437028,0.1994927518361257
MAE,GPR,all_data,14,test,0.20657850255453925,0.22624428916383857
MAE,GPR,all_data,14,train,0.16703138468275122,0.21571588084864665
MAE,GPR,Aegean,15,test,0.12560410801964736,0.11604114497954228
MAE,GPR,Aegean,15,train,0.11261717271055856,0.12323967090001531
MAE,GPR,Black Sea,15,test,0.12366519465905873,0.1241243228721978
MAE,GPR,Black Sea,15,train,0.10178947854218273,0.12157016695468169
MAE,GPR,Central Anatolia,15,test,0.10401837638326546,0.1366359627929981
MAE,GPR,Central Anatolia,15,train,0.10103862598388128,0.13536490986161587
MAE,GPR,Eastern Anatolia,15,test,0.0836423035065641,0.10603198441384556
MAE,GPR,Eastern Anatolia,15,train,0.07054433814002027,0.09154265257300666
MAE,GPR,Marmara,15,test,0.14309806012937018,0.16617202985637616
MAE,GPR,Marmara,15,train,0.12481356996063,0.1562488119709272
MAE,GPR,Mediterranean,15,test,0.1198349252962564,0.20537567651565836
MAE,GPR,Mediterranean,15,train,0.08788169505752493,0.17542761430112666
MAE,GPR,Southeastern Anatolia,15,test,0.1382706526690754,0.13707148899693064
MAE,GPR,Southeastern Anatolia,15,train,0.10629076951716614,0.12314609546450368
MAE,GPR,all_data,15,test,0.11536416082963374,0.13790838647551798
MAE,GPR,all_data,15,train,0.10001059223588372,0.13057125565612607
MAE,GPR,Aegean,16,test,0.23620878736829892,0.21195011759533447
MAE,GPR,Aegean,16,train,0.18009984048098182,0.19853146904660174
MAE,GPR,Black Sea,16,test,0.21124150673508024,0.22109546237465927
MAE,GPR,Black Sea,16,train,0.15954302810522786,0.2029600635908129
MAE,GPR,Central Anatolia,16,test,0.1930145131917342,0.24771161133337172
MAE,GPR,Central Anatolia,16,train,0.1655942230496133,0.23182708599950586
MAE,GPR,Eastern Anatolia,16,test,0.16804856424676506,0.18390349403214024
MAE,GPR,Eastern Anatolia,16,train,0.14465560351956716,0.16431259057517414
MAE,GPR,Marmara,16,test,0.20328660798305948,0.23254926461383876
MAE,GPR,Marmara,16,train,0.1789869919613415,0.22321042329327978
MAE,GPR,Mediterranean,16,test,0.2465501359831445,0.251099877224844
MAE,GPR,Mediterranean,16,train,0.18111552227084415,0.2577967992467224
MAE,GPR,Southeastern Anatolia,16,test,0.2466818793682251,0.2407246564438352
MAE,GPR,Southeastern Anatolia,16,train,0.1425685946553992,0.1647719277169237
MAE,GPR,all_data,16,test,0.20910771316128807,0.2247101561817096
MAE,GPR,all_data,16,train,0.16626227081474257,0.2085818298503962
MAE,Polynomial,Aegean,1,test,0.41248022623174746,0.4237821058092508
MAE,Polynomial,Aegean,1,train,0.3963434780973065,0.4084838707256849
MAE,Polynomial,Black Sea,1,test,0.4006353625685014,0.40819846055027026
MAE,Polynomial,Black Sea,1,train,0.34761204075068936,0.35853093998956226
MAE,Polynomial,Central Anatolia,1,test,0.32195058107705926,0.3668680077202215
MAE,Polynomial,Central Anatolia,1,train,0.32176921111571033,0.3817257128471844
MAE,Polynomial,Eastern Anatolia,1,test,0.30904807754652275,0.35913023354966767
MAE,Polynomial,Eastern Anatolia,1,train,0.3130054585983793,0.36569853493616883
MAE,Polynomial,Marmara,1,test,0.3553981681771053,0.3997852084254747
MAE,Polynomial,Marmara,1,train,0.3505797760707404,0.39368034336583274
MAE,Polynomial,Mediterranean,1,test,0.48487615347177465,0.5798479805540822
MAE,Polynomial,Mediterranean,1,train,0.4542466506174745,0.5748222376620187
MAE,Polynomial,Southeastern Anatolia,1,test,0.38491130072525975,0.45180673651657366
MAE,Polynomial,Southeastern Anatolia,1,train,0.3194875142827443,0.35300910162439925
MAE,Polynomial,all_data,1,test,0.3714415730055642,0.4143549804746734
MAE,Polynomial,all_data,1,train,0.3554810103021791,0.4030794012317277
MAE,Polynomial,Aegean,2,test,0.776456756926215,0.7785796514574153
MAE,Polynomial,Aegean,2,train,0.8040176464497287,0.8331619413398172
MAE,Polynomial,Black Sea,2,test,0.8543485334912126,0.8265298991945714
MAE,Polynomial,Black Sea,2,train,0.7133713413577446,0.7490139904735575
MAE,Polynomial,Central Anatolia,2,test,0.6203934478654918,0.7860117212160538
MAE,Polynomial,Central Anatolia,2,train,0.6178426990406779,0.8111523532276339
MAE,Polynomial,Eastern Anatolia,2,test,0.5787365320868126,0.6767268284175382
MAE,Polynomial,Eastern Anatolia,2,train,0.5417346557970135,0.5982503961246901
MAE,Polynomial,Marmara,2,test,0.7410988638825508,0.8283762796839155
MAE,Polynomial,Marmara,2,train,0.7976979958893761,0.8558240714352517
MAE,Polynomial,Mediterranean,2,test,0.7802837014490283,1.08529230743909
MAE,Polynomial,Mediterranean,2,train,0.7663157571255839,1.1178520445227031
MAE,Polynomial,Southeastern Anatolia,2,test,0.7334059320438279,0.7793269554544466
MAE,Polynomial,Southeastern Anatolia,2,train,0.6199810258758122,0.7540515246359666
MAE,Polynomial,all_data,2,test,0.706589701088216,0.8087336109028304
MAE,Polynomial,all_data,2,train,0.6905285300935808,0.8084427253229403
MAE,Polynomial,Aegean,3,test,0.27944621953250204,0.27420574776372353
MAE,Polynomial,Aegean,3,train,0.2265381687555695,0.2316824606681921
MAE,Polynomial,Black Sea,3,test,0.2564750178179572,0.26071626758268773
MAE,Polynomial,Black Sea,3,train,0.2241639468278066,0.26073446731999306
MAE,Polynomial,Central Anatolia,3,test,0.22294915428133058,0.26646029784707487
MAE,Polynomial,Central Anatolia,3,train,0.20681259276053585,0.26770463281555923
MAE,Polynomial,Eastern Anatolia,3,test,0.21662645967886365,0.2393454546502285
MAE,Polynomial,Eastern Anatolia,3,train,0.21450162074326884,0.2358561595597722
MAE,Polynomial,Marmara,3,test,0.23594775639053003,0.29492358554670156
MAE,Polynomial,Marmara,3,train,0.21836210552755425,0.27768195312186894
MAE,Polynomial,Mediterranean,3,test,0.26874056792089646,0.3220719580000131
MAE,Polynomial,Mediterranean,3,train,0.25680704165039675,0.3514137813077006
MAE,Polynomial,Southeastern Anatolia,3,test,0.2775471355761895,0.29803078110385645
MAE,Polynomial,Southeastern Anatolia,3,train,0.1879190746017941,0.22636114500503315
MAE,Polynomial,all_data,3,test,0.2459680118863384,0.2745116445997069
MAE,Polynomial,all_data,3,train,0.21972286193387267,0.2629179844391457
MAE,Polynomial,Aegean,4,test,0.742150317644604,0.7290577305166245
MAE,Polynomial,Aegean,4,train,0.5648955620752885,0.5730762062328368
MAE,Polynomial,Black Sea,4,test,0.5979646924411385,0.6271001644391839
MAE,Polynomial,Black Sea,4,train,0.5660524495314007,0.6263357338304641
MAE,Polynomial,Central Anatolia,4,test,0.578037162938846,0.7025789278497582
MAE,Polynomial,Central Anatolia,4,train,0.6323297647889867,0.7113843346576296
MAE,Polynomial,Eastern Anatolia,4,test,0.5822394261830526,0.5796599334288501
MAE,Polynomial,Eastern Anatolia,4,train,0.5898617678415168,0.6119119769608191
MAE,Polynomial,Marmara,4,test,0.6550487555037899,0.6792400429346035
MAE,Polynomial,Marmara,4,train,0.5830568395036166,0.5954303563224905
MAE,Polynomial,Mediterranean,4,test,0.7322655822642746,0.7218674586394672
MAE,Polynomial,Mediterranean,4,train,0.6567358172776341,0.7809896878692312
MAE,Polynomial,Southeastern Anatolia,4,test,0.8181561702441927,0.7731537269524534
MAE,Polynomial,Southeastern Anatolia,4,train,0.721297182339372,0.7828156850155571
MAE,Polynomial,all_data,4,test,0.6538300319957189,0.6808968358808087
MAE,Polynomial,all_data,4,train,0.6064478870978456,0.6550899795958739
MAE,Polynomial,Aegean,5,test,0.7382362969308741,0.7304431475820997
MAE,Polynomial,Aegean,5,train,0.5962236166548404,0.6003503289123543
MAE,Polynomial,Black Sea,5,test,0.6065416293725764,0.6185410609306062
MAE,Polynomial,Black Sea,5,train,0.5492874515669709,0.6122443575394655
MAE,Polynomial,Central Anatolia,5,test,0.5964480451500063,0.7119036338067654
MAE,Polynomial,Central Anatolia,5,train,0.6371925581134394,0.7232797770941046
MAE,Polynomial,Eastern Anatolia,5,test,0.5995862075436768,0.578880982840723
MAE,Polynomial,Eastern Anatolia,5,train,0.5926199219782805,0.6015077533685841
MAE,Polynomial,Marmara,5,test,0.6809977924086328,0.6945141388599329
MAE,Polynomial,Marmara,5,train,0.5939820109821857,0.6030571493572161
MAE,Polynomial,Mediterranean,5,test,0.7219650912070211,0.7083176925794973
MAE,Polynomial,Mediterranean,5,train,0.642196562760917,0.7898728448698481
MAE,Polynomial,Southeastern Anatolia,5,test,0.6958065057394511,0.7148299296276368
MAE,Polynomial,Southeastern Anatolia,5,train,0.7807260128969892,0.8293144053872711
MAE,Polynomial,all_data,5,test,0.6562083115490422,0.6792310450266844
MAE,Polynomial,all_data,5,train,0.6155119964415983,0.664361849362278
MAE,Polynomial,Aegean,6,test,0.7573060879223722,0.7283578924619531
MAE,Polynomial,Aegean,6,train,0.5558105532333636,0.5745576300839313
MAE,Polynomial,Black Sea,6,test,0.6064045557570296,0.5925146192563834
MAE,Polynomial,Black Sea,6,train,0.5673821859783661,0.6093382875915305
MAE,Polynomial,Central Anatolia,6,test,0.5687186358437364,0.6765267458566949
MAE,Polynomial,Central Anatolia,6,train,0.614748194437337,0.6924129214132069
MAE,Polynomial,Eastern Anatolia,6,test,0.5912548279871463,0.5705643788230992
MAE,Polynomial,Eastern Anatolia,6,train,0.5964401839021166,0.6289392871399012
MAE,Polynomial,Marmara,6,test,0.6751697501323284,0.7119531307076813
MAE,Polynomial,Marmara,6,train,0.5924535790135023,0.6149339878224998
MAE,Polynomial,Mediterranean,6,test,0.7320094070638341,0.7364154473433445
MAE,Polynomial,Mediterranean,6,train,0.6443216783060345,0.779489545377829
MAE,Polynomial,Southeastern Anatolia,6,test,0.7728040872600156,0.7739489819629957
MAE,Polynomial,Southeastern Anatolia,6,train,0.735506171651349,0.7977966887904356
