model_name,algorithm,region,input_combo,st_num,dataset,MAE,RMSE,rRMSE,NSE
GPR_aegean_f1,GPR,Aegean,1,17298,train,0.4110228362962102,0.5200733582421619,0.1345670253652479,0.9181345098176088
GPR_aegean_f1,GPR,Aegean,1,17704,train,0.3147627674323695,0.3893246138088905,0.1038843408449575,0.9346813307690603
GPR_aegean_f1,GPR,Aegean,1,17742,train,0.4022246679686587,0.4893122661063024,0.0979291686705117,0.9524182333419072
GPR_aegean_f1,GPR,Aegean,1,17749,train,0.370386657661938,0.445170683081652,0.0924148429758229,0.9542732667473494
GPR_aegean_f1,GPR,Aegean,1,17789,train,0.4497837954482116,0.5553248376786685,0.117441397910453,0.893912465513245
GPR_aegean_f1,GPR,Aegean,1,17826,train,0.4300596513563707,0.542561001458817,0.1485069706696437,0.8942568527086243
GPR_aegean_f1,GPR,Aegean,1,17828,train,0.4291710331958936,0.5399773602031784,0.1415161954381248,0.9052627958156312
GPR_aegean_f1,GPR,Aegean,1,17839,train,0.492124873738772,0.5974581764673988,0.1322144927199642,0.8948850244915154
GPR_aegean_f1,GPR,Aegean,1,17850,train,0.3262623683193815,0.4035164506530093,0.1003035862449494,0.9517369217690456
GPR_aegean_f1,GPR,Aegean,1,17860,train,0.3091677121198194,0.4151334203478992,0.0953249491191664,0.9510138365284
GPR_aegean_f1,GPR,Aegean,1,17862,train,0.3483684432220314,0.4235393907400279,0.1044932521339269,0.9245735642884696
GPR_aegean_f1,GPR,Aegean,1,17886,train,0.3908533972758231,0.4650853912394791,0.1102898660970368,0.933813118151214
GPR_aegean_f2,GPR,Aegean,2,17180,test,0.8887559045805102,1.076930726996012,0.2698314792773029,0.5339529429978707
GPR_aegean_f2,GPR,Aegean,2,17190,test,0.5613783653201365,0.7258421606587628,0.1952273859366708,0.8208778719958675
GPR_aegean_f2,GPR,Aegean,2,17221,test,1.0823914650567548,1.2274058138614845,0.3287336838588219,0.0258227653347413
GPR_aegean_f2,GPR,Aegean,2,17232,test,0.7181036042495252,0.9077764565070228,0.214295515628669,0.5732628647449087
GPR_aegean_f2,GPR,Aegean,2,17237,test,0.4266579607803423,0.5260780049213526,0.1711882312001836,0.8648049190520566
GPR_aegean_f2,GPR,Aegean,2,17238,test,0.590680734776136,0.7409358407955323,0.2066048606594158,0.8037839804738245
GPR_aegean_f2,GPR,Aegean,2,17750,test,0.8540986743051574,1.0924471532759754,0.2612107291588818,0.6273727862130613
GPR_aegean_f2,GPR,Aegean,2,17790,test,0.6417963133170301,0.8028675610994364,0.2060468676993099,0.7859195852771923
GPR_aegean_f2,GPR,Aegean,2,17824,test,1.069508534931553,1.36465798920916,0.2627566638256753,0.6242911042185245
GPR_aegean_f2,GPR,Aegean,2,17854,test,0.4191279566594594,0.537829912188651,0.1472596957373335,0.8890835075161294
GPR_aegean_f2,GPR,Aegean,2,17884,test,0.4733483781268847,0.5805632411079011,0.1690267968729426,0.8708047596777746
GPR_aegean_f2,GPR,Aegean,2,18912,test,0.6710803567792178,0.8713987522492749,0.2127196484409602,0.6902138768044539
GPR_aegean_f2,GPR,Aegean,2,17155,train,0.6061243215407779,0.7637746802496322,0.223770527742959,0.7428261700420671
GPR_aegean_f2,GPR,Aegean,2,17184,train,0.720766925100342,0.967960869924681,0.2070828137462923,0.8320273511450462
GPR_aegean_f2,GPR,Aegean,2,17186,train,0.6817511762677578,0.7860783808558407,0.2173281233162376,0.8403331813914159
GPR_aegean_f2,GPR,Aegean,2,17220,train,0.8685428025692534,1.0636051344349062,0.2219544771027164,0.7168720364592651
GPR_aegean_f2,GPR,Aegean,2,17227,train,0.6935143695226126,0.8585597060642236,0.1675576704641004,0.814398385385264
GPR_aegean_f2,GPR,Aegean,2,17234,train,0.6446900064213384,0.7850942698668312,0.1949267983432391,0.8053464055945888
GPR_aegean_f2,GPR,Aegean,2,17240,train,0.5541757770073029,0.7001948822944677,0.1949261468635326,0.7927597047718192
GPR_aegean_f2,GPR,Aegean,2,17290,train,1.164457800788501,1.4141732586996594,0.3241021659168214,0.370149172113459
GPR_aegean_f2,GPR,Aegean,2,17292,train,0.5515878028270045,0.6763778444306088,0.170961053255719,0.8642634050265307
GPR_aegean_f2,GPR,Aegean,2,17298,train,1.161290127585157,1.369331604951618,0.3543094025038671,0.4324698777652291
GPR_aegean_f2,GPR,Aegean,2,17704,train,0.8042614982264632,0.9942854152939504,0.265307358733475,0.573974354531422
GPR_aegean_f2,GPR,Aegean,2,17742,train,0.7776306005710673,0.9690109901331396,0.1939343181634283,0.8133939317031598
GPR_aegean_f2,GPR,Aegean,2,17749,train,0.7452580541060885,0.9384068489123356,0.1948078004358698,0.7968113700895458
GPR_aegean_f2,GPR,Aegean,2,17789,train,0.7239173731335671,0.909237096325402,0.1922875916569115,0.715603365691152
GPR_aegean_f2,GPR,Aegean,2,17826,train,0.5997543956009134,0.7579457900013243,0.2074609728717305,0.7936372178484071
GPR_aegean_f2,GPR,Aegean,2,17828,train,0.7862603405980324,0.979343476579126,0.2566643956710992,0.6883698054263748
GPR_aegean_f2,GPR,Aegean,2,17839,train,1.0061656727073212,1.236724086875164,0.2736808269117111,0.5496032851818309
GPR_aegean_f2,GPR,Aegean,2,17850,train,0.5615166979018585,0.6951640183856982,0.1727995078260026,0.8567590811706169
GPR_aegean_f2,GPR,Aegean,2,17860,train,0.5606793955839277,0.690662025940762,0.1585931636777619,0.8644095230127368
GPR_aegean_f2,GPR,Aegean,2,17862,train,0.6069628245893081,0.7720719821406073,0.1904812493458939,0.7493593226490778
GPR_aegean_f2,GPR,Aegean,2,17886,train,0.6528777889319859,0.7862535865392877,0.1864513579896165,0.8108389116263041
GPR_aegean_f3,GPR,Aegean,3,17180,test,0.2117500396650258,0.2627686814571857,0.0658382756178907,0.9722539326186572
GPR_aegean_f3,GPR,Aegean,3,17190,test,0.1715170590440149,0.2259243258868372,0.0607661251343698,0.9826463494035674
GPR_aegean_f3,GPR,Aegean,3,17221,test,0.2422194794912746,0.2960935691407165,0.0793021579752099,0.9433082877179936
GPR_aegean_f3,GPR,Aegean,3,17232,test,0.2191873998011755,0.297140611379633,0.070144912961095,0.9542778512049968
GPR_aegean_f3,GPR,Aegean,3,17237,test,0.2411086803404017,0.3214534194263831,0.1046024387449537,0.9495226321037936
GPR_aegean_f3,GPR,Aegean,3,17238,test,0.197558547694413,0.2635592144017017,0.0734916733255928,0.9751726901839726
GPR_aegean_f3,GPR,Aegean,3,17750,test,0.2001324762757969,0.2500673319330595,0.0597926132327513,0.9804751540720792
GPR_aegean_f3,GPR,Aegean,3,17790,test,0.2607963521960803,0.3513468026850018,0.090169178177129,0.9590021457987236
GPR_aegean_f3,GPR,Aegean,3,17824,test,0.3659213448990485,0.5341171271641345,0.102841030892387,0.9424458236973184
GPR_aegean_f3,GPR,Aegean,3,17854,test,0.1243157484322984,0.1752786545494784,0.0479919036729806,0.9882194847923874
GPR_aegean_f3,GPR,Aegean,3,17884,test,0.2885012696125807,0.4042997910367601,0.1177089657363317,0.9373451811561196
GPR_aegean_f3,GPR,Aegean,3,18912,test,0.2342342893319687,0.2886091813144858,0.0704532149347036,0.9660180436263353
GPR_aegean_f3,GPR,Aegean,3,17155,train,0.1181850963616299,0.1549122514677836,0.0453861553167304,0.9894204355059084
GPR_aegean_f3,GPR,Aegean,3,17184,train,0.1658924782473926,0.2228519929055435,0.0476763257418036,0.9910965973812554
GPR_aegean_f3,GPR,Aegean,3,17186,train,0.4219484737613792,0.6940076917719807,0.1918732188711583,0.8755452332705027
GPR_aegean_f3,GPR,Aegean,3,17220,train,0.1909371227874138,0.2410004786969026,0.0502922875218116,0.9854635712053844
GPR_aegean_f3,GPR,Aegean,3,17227,train,0.1895533554962117,0.2358779851246402,0.0460342657849982,0.9859907281097536
GPR_aegean_f3,GPR,Aegean,3,17234,train,0.1588650808074754,0.2157310669618033,0.0535626966086099,0.985302475416708
GPR_aegean_f3,GPR,Aegean,3,17240,train,0.2068884540403804,0.2958492463815728,0.0823610042116635,0.9630020831018484
GPR_aegean_f3,GPR,Aegean,3,17290,train,0.2740326689401148,0.333136022079264,0.0763485701886929,0.965047708448906
GPR_aegean_f3,GPR,Aegean,3,17292,train,0.1484757406931599,0.2010703110457827,0.0508224691833008,0.9880046174348012
GPR_aegean_f3,GPR,Aegean,3,17298,train,0.2273407795901599,0.2820593998597561,0.0729818088427459,0.975920203737521
GPR_aegean_f3,GPR,Aegean,3,17704,train,0.1929630606620807,0.2576078070204982,0.0687380563150728,0.9714022644242848
GPR_aegean_f3,GPR,Aegean,3,17742,train,0.1694791931470428,0.2243348278014941,0.0448975525695691,0.9899985777620774
