model_name,algorithm,region,input_combo,dataset,MAE,RMSE,rRMSE,NSE
GPR_eastern_anatolia_f8,GPR,Eastern Anatolia,8,test,1.113472475756607,1.3262384726975074,0.395636941532821,0.4637150041890105
GPR_eastern_anatolia_f8,GPR,Eastern Anatolia,8,train,1.0169290774847537,1.2507251524204868,0.3804538198351233,0.5324559782101088
GPR_eastern_anatolia_f9,GPR,Eastern Anatolia,9,test,0.5130166631923199,0.6747281820338317,0.2012815943748842,0.8611934045130373
GPR_eastern_anatolia_f9,GPR,Eastern Anatolia,9,train,0.5130559933254804,0.6604138538235378,0.2008890385493171,0.8696439803467684
GPR_eastern_anatolia_f10,GPR,Eastern Anatolia,10,test,0.5611421150402115,0.7551860121895718,0.2252833787451108,0.8261157379581165
GPR_eastern_anatolia_f10,GPR,Eastern Anatolia,10,train,0.5288886218204929,0.6971854772001169,0.2120744732933804,0.854723487818961
GPR_eastern_anatolia_f11,GPR,Eastern Anatolia,11,test,0.5202308284590271,0.6943445697650429,0.207133458730857,0.8530050249422457
GPR_eastern_anatolia_f11,GPR,Eastern Anatolia,11,train,0.507341661917733,0.6653102636899,0.2023784607725216,0.8677038555685734
GPR_eastern_anatolia_f12,GPR,Eastern Anatolia,12,test,0.39805057151584,0.5475447631824594,0.1633408620828257,0.908590430961094
GPR_eastern_anatolia_f12,GPR,Eastern Anatolia,12,train,0.3469906513034306,0.4788660131713081,0.145664619878845,0.931462734920826
GPR_eastern_anatolia_f13,GPR,Eastern Anatolia,13,test,0.4313587832926046,0.5827719252559973,0.1738496558997537,0.8964501091399223
GPR_eastern_anatolia_f13,GPR,Eastern Anatolia,13,train,0.3723573732728905,0.4937584283430635,0.1501946928750583,0.927133520914724
GPR_eastern_anatolia_f14,GPR,Eastern Anatolia,14,test,0.1707828074214005,0.283584253195739,0.0845974603443896,0.9754802168132763
GPR_eastern_anatolia_f14,GPR,Eastern Anatolia,14,train,0.1504093675151113,0.212347626165924,0.0645933004156823,0.986522989658356
GPR_eastern_anatolia_f15,GPR,Eastern Anatolia,15,test,0.0836423035065641,0.1172410365760379,0.0349747696873372,0.9958090575104848
GPR_eastern_anatolia_f15,GPR,Eastern Anatolia,15,train,0.0705443381400202,0.0955962472722381,0.0290790965275147,0.997268630668368
GPR_eastern_anatolia_f16,GPR,Eastern Anatolia,16,test,0.168048564246765,0.2792065273362334,0.0832915186864002,0.9762314035968152
GPR_eastern_anatolia_f16,GPR,Eastern Anatolia,16,train,0.1446556035195671,0.2040360120697187,0.0620650188617557,0.987557364067636
GPR_marmara_f1,GPR,Marmara,1,test,0.3385899923362226,0.428454659257612,0.1078615789330555,0.9337694114944476
GPR_marmara_f1,GPR,Marmara,1,train,0.33292540794093,0.4158379278080469,0.107499283201613,0.9315070379119484
GPR_marmara_f2,GPR,Marmara,2,test,0.6885078245543249,0.8696063286429272,0.2189195744075393,0.7271686590301124
