model_name,algorithm,region,input_combo,train_time,kernel,C,gamma
SVR_aegean_f6,SVR,Aegean,6,1.454604148864746,rbf,5,0.3
SVR_black_sea_f6,SVR,Black Sea,6,0.4373970031738281,rbf,1,0.5
SVR_central_anatolia_f6,SVR,Central Anatolia,6,2.309617519378662,rbf,1,0.5
SVR_eastern_anatolia_f6,SVR,Eastern Anatolia,6,1.4433205127716064,rbf,50,0.3
SVR_marmara_f6,SVR,Marmara,6,0.9233369827270508,rbf,1,0.3
SVR_mediterranean_f6,SVR,Mediterranean,6,0.5114173889160156,rbf,1,0.3
SVR_southeastern_anatolia_f6,SVR,Southeastern Anatolia,6,0.1257765293121338,rbf,1,0.1
SVR_all_data_f6,SVR,all_data,6,46.81778383255005,rbf,5,0.1
SVR_aegean_f7,SVR,Aegean,7,1.3121941089630127,rbf,5,0.3
SVR_black_sea_f7,SVR,Black Sea,7,0.4797165393829345,rbf,20,0.3
SVR_central_anatolia_f7,SVR,Central Anatolia,7,2.089935302734375,rbf,20,0.5
SVR_eastern_anatolia_f7,SVR,Eastern Anatolia,7,1.4059581756591797,rbf,50,0.5
SVR_marmara_f7,SVR,Marmara,7,0.7029597759246826,rbf,5,0.5
SVR_mediterranean_f7,SVR,Mediterranean,7,0.5188980102539062,rbf,1,0.5
SVR_southeastern_anatolia_f7,SVR,Southeastern Anatolia,7,0.1403591632843017,rbf,50,0.1
SVR_all_data_f7,SVR,all_data,7,43.513686180114746,rbf,50,0.1
SVR_aegean_f8,SVR,Aegean,8,1.7183473110198977,rbf,50,0.1
SVR_black_sea_f8,SVR,Black Sea,8,0.4217760562896728,rbf,5,0.5
SVR_central_anatolia_f8,SVR,Central Anatolia,8,2.155744791030884,rbf,5,0.1
SVR_eastern_anatolia_f8,SVR,Eastern Anatolia,8,1.171600103378296,rbf,1,0.1
SVR_marmara_f8,SVR,Marmara,8,0.7029561996459961,rbf,1,0.3
SVR_mediterranean_f8,SVR,Mediterranean,8,0.4998807907104492,rbf,1,0.5
SVR_southeastern_anatolia_f8,SVR,Southeastern Anatolia,8,0.2054643630981445,rbf,50,0.5
SVR_all_data_f8,SVR,all_data,8,42.28692269325256,rbf,5,0.1
SVR_aegean_f9,SVR,Aegean,9,1.2497072219848633,rbf,1,0.3
SVR_black_sea_f9,SVR,Black Sea,9,0.547534704208374,rbf,5,0.5
SVR_central_anatolia_f9,SVR,Central Anatolia,9,2.9467248916625977,rbf,20,0.3
SVR_eastern_anatolia_f9,SVR,Eastern Anatolia,9,1.7027270793914795,rbf,50,0.5
SVR_marmara_f9,SVR,Marmara,9,0.691152811050415,rbf,5,0.1
SVR_mediterranean_f9,SVR,Mediterranean,9,0.4866929054260254,rbf,5,0.5
SVR_southeastern_anatolia_f9,SVR,Southeastern Anatolia,9,0.1286845207214355,rbf,5,0.5
SVR_all_data_f9,SVR,all_data,9,43.84988784790039,rbf,1,0.1
SVR_aegean_f10,SVR,Aegean,10,1.3434717655181885,rbf,5,0.1
SVR_black_sea_f10,SVR,Black Sea,10,0.4129314422607422,rbf,5,0.1
SVR_central_anatolia_f10,SVR,Central Anatolia,10,2.3327653408050537,rbf,50,0.1
SVR_eastern_anatolia_f10,SVR,Eastern Anatolia,10,1.3430399894714355,rbf,5,0.3
SVR_marmara_f10,SVR,Marmara,10,1.166881084442139,rbf,50,0.1
SVR_mediterranean_f10,SVR,Mediterranean,10,0.588428258895874,rbf,5,0.5
SVR_southeastern_anatolia_f10,SVR,Southeastern Anatolia,10,0.1665546894073486,rbf,1,0.3
SVR_all_data_f10,SVR,all_data,10,52.201202392578125,rbf,5,0.1
SVR_aegean_f11,SVR,Aegean,11,1.5314784049987793,rbf,20,0.1
SVR_black_sea_f11,SVR,Black Sea,11,0.3905680179595947,rbf,1,0.3
SVR_central_anatolia_f11,SVR,Central Anatolia,11,1.921225309371948,rbf,1,0.1
SVR_eastern_anatolia_f11,SVR,Eastern Anatolia,11,1.287621021270752,rbf,5,0.3
SVR_marmara_f11,SVR,Marmara,11,0.7654454708099365,rbf,20,0.1
SVR_mediterranean_f11,SVR,Mediterranean,11,0.5779910087585449,rbf,50,0.1
SVR_southeastern_anatolia_f11,SVR,Southeastern Anatolia,11,0.1924834251403808,rbf,50,0.1
SVR_all_data_f11,SVR,all_data,11,41.788227796554565,rbf,50,0.1
SVR_aegean_f12,SVR,Aegean,12,1.390256643295288,rbf,20,0.1
SVR_black_sea_f12,SVR,Black Sea,12,0.484260082244873,rbf,50,0.1
SVR_central_anatolia_f12,SVR,Central Anatolia,12,2.1135809421539307,rbf,20,0.5
SVR_eastern_anatolia_f12,SVR,Eastern Anatolia,12,1.0930018424987793,rbf,5,0.5
SVR_marmara_f12,SVR,Marmara,12,0.9529047012329102,rbf,20,0.1
SVR_mediterranean_f12,SVR,Mediterranean,12,0.6092286109924316,rbf,5,0.5
SVR_southeastern_anatolia_f12,SVR,Southeastern Anatolia,12,0.1271021366119384,rbf,20,0.1
SVR_all_data_f12,SVR,all_data,12,42.58624005317688,rbf,5,0.1
SVR_aegean_f13,SVR,Aegean,13,2.10835862159729,rbf,20,0.5
SVR_black_sea_f13,SVR,Black Sea,13,0.5467464923858643,rbf,50,0.5
SVR_central_anatolia_f13,SVR,Central Anatolia,13,2.530651807785034,rbf,50,0.5
SVR_eastern_anatolia_f13,SVR,Eastern Anatolia,13,2.1713664531707764,rbf,50,0.5
