model_name,algorithm,region,input_combo,train_time,kernel_var,kernel_len,likelihood_var,M,batch_size
GPR_central_anatolia_f10,GPR,Central Anatolia,10,79.42264223098755,3.485634994597772,"1.3762432157006057,1.752903252986789",0.5947840682058909,150,100
GPR_eastern_anatolia_f10,GPR,Eastern Anatolia,10,81.17906069755554,3.039306936037282,"1.0135335844856708,2.601243628470795",0.4891883795224492,150,100
GPR_marmara_f10,GPR,Marmara,10,78.18440198898315,3.381207770729025,"0.8471623274694323,3.298620345775932",0.5046987925943229,150,100
GPR_mediterranean_f10,GPR,Mediterranean,10,77.78776907920837,3.2465679692376126,"1.206252135898373,1.976755976567107",0.5713616405966967,150,100
GPR_southeastern_anatolia_f10,GPR,Southeastern Anatolia,10,83.11536312103271,3.414967180310849,"2.1320368823080504,3.3061671464566693",0.4578963143356245,150,100
GPR_all_data_f10,GPR,all_data,10,84.91739010810852,3.2805830169703896,"3.4739984014324405,1.8191383263843537",0.6410099214302221,150,100
GPR_aegean_f11,GPR,Aegean,11,94.77745413780212,3.1682809502393776,"1.5590124602109383,3.7629398434629806",0.4886177386176626,150,100
GPR_black_sea_f11,GPR,Black Sea,11,83.14282035827637,2.874709399386345,"2.444642921100297,2.05015895454938",0.4179414576602869,150,100
GPR_central_anatolia_f11,GPR,Central Anatolia,11,83.13720965385437,3.2612024751891693,"1.2273094208957378,1.9122096320060367",0.5376379913720094,150,100
GPR_eastern_anatolia_f11,GPR,Eastern Anatolia,11,99.07564759254456,3.0262574345338926,"0.7840328682599835,3.5368029504070986",0.4431006572862436,150,100
GPR_marmara_f11,GPR,Marmara,11,82.61203837394714,3.531949809596987,"1.7309886482256314,0.7659385875853761",0.5185616226543389,150,100
GPR_mediterranean_f11,GPR,Mediterranean,11,91.07551503181458,3.102017483594997,"1.0480409577238081,1.7698092471168032",0.5502042805668057,150,100
GPR_southeastern_anatolia_f11,GPR,Southeastern Anatolia,11,100.51071453094482,3.721964950722661,"1.1222372380945296,2.8793762925758664",0.4696327959149375,150,100
GPR_all_data_f11,GPR,all_data,11,92.4378707408905,3.4784861924649944,"0.623772333446907,1.0275433797633804",0.6585969347452104,150,100
GPR_aegean_f12,GPR,Aegean,12,83.0754280090332,3.643736029901203,"0.426701040394377,2.1761020702721985",0.2835689861041505,150,100
GPR_black_sea_f12,GPR,Black Sea,12,79.44292783737183,3.0181909971006644,"2.8021966156751725,0.7414951489338388",0.2535628293482159,150,100
GPR_central_anatolia_f12,GPR,Central Anatolia,12,79.57657551765442,3.313492327259099,"0.677025518149835,1.0294585093649742",0.3919128414642248,150,100
GPR_eastern_anatolia_f12,GPR,Eastern Anatolia,12,80.95132613182068,3.060267634819,"3.4550000366395257,2.13716535880212",0.2309605654773291,150,100
GPR_marmara_f12,GPR,Marmara,12,80.24442195892334,3.630069714832943,"0.8877204964832938,2.6033060047293106",0.3337992390699987,150,100
GPR_mediterranean_f12,GPR,Mediterranean,12,82.39042353630066,3.392888730209666,"1.4085366363417053,1.1838036925175457",0.3339870308295193,150,100
GPR_southeastern_anatolia_f12,GPR,Southeastern Anatolia,12,80.22536730766296,4.159117503970567,"2.903875724629839,1.938741689389948",0.3750220416512795,150,100
GPR_all_data_f12,GPR,all_data,12,81.66132831573486,3.4694675506202004,"0.7358816148252876,0.7393750542795254",0.3632046073672822,150,100
GPR_aegean_f13,GPR,Aegean,13,105.04605841636658,3.4609285848430527,"1.0460710845073633,0.6747295939692352",0.3859940314130411,150,100
GPR_black_sea_f13,GPR,Black Sea,13,89.61002469062805,3.515590686043198,"2.978204321960027,1.0121460958255026",0.3340727404230839,150,100
GPR_central_anatolia_f13,GPR,Central Anatolia,13,89.11802005767822,3.613550051840612,"3.709401388581972,0.7865309650553143",0.4163028840435521,150,100
GPR_eastern_anatolia_f13,GPR,Eastern Anatolia,13,88.79341864585876,2.6405969434312406,"1.3980292208406282,0.9088047499520836",0.2461548145761245,150,100
GPR_marmara_f13,GPR,Marmara,13,89.63929891586304,3.600064329571415,"0.5983879966005312,0.8985426352014554",0.429464521860876,150,100
GPR_mediterranean_f13,GPR,Mediterranean,13,87.36892032623291,3.5805125996989635,"1.1113081477315625,0.6590804462137285",0.3717017125326159,150,100
GPR_southeastern_anatolia_f13,GPR,Southeastern Anatolia,13,88.49587845802307,3.910569158164238,"1.450423060712489,0.4071187016780511",0.4036633055544394,150,100
GPR_all_data_f13,GPR,all_data,13,99.97355580329896,3.390278985497102,"4.306448901959224,0.7352500154535674",0.4807898476588199,150,100
