model_name,algorithm,region,input_combo,train_time
Polynomial_black_sea_f8,Polynomial,Black Sea,8,0.00299072265625
Polynomial_central_anatolia_f8,Polynomial,Central Anatolia,8,0.0019948482513427
Polynomial_eastern_anatolia_f8,Polynomial,Eastern Anatolia,8,0.0039906501770019
Polynomial_marmara_f8,Polynomial,Marmara,8,0.0019934177398681
Polynomial_mediterranean_f8,Polynomial,Mediterranean,8,0.0019943714141845
Polynomial_southeastern_anatolia_f8,Polynomial,Southeastern Anatolia,8,0.0019972324371337
Polynomial_all_data_f8,Polynomial,all_data,8,0.0059845447540283
Polynomial_aegean_f9,Polynomial,Aegean,9,0.0039873123168945
Polynomial_black_sea_f9,Polynomial,Black Sea,9,0.0019946098327636
Polynomial_central_anatolia_f9,Polynomial,Central Anatolia,9,0.0029904842376708
Polynomial_eastern_anatolia_f9,Polynomial,Eastern Anatolia,9,0.0030219554901123
Polynomial_marmara_f9,Polynomial,Marmara,9,0.0069787502288818
Polynomial_mediterranean_f9,Polynomial,Mediterranean,9,0.0019958019256591
Polynomial_southeastern_anatolia_f9,Polynomial,Southeastern Anatolia,9,0.0020647048950195
Polynomial_all_data_f9,Polynomial,all_data,9,0.0119678974151611
Polynomial_aegean_f10,Polynomial,Aegean,10,0.0039896965026855
Polynomial_black_sea_f10,Polynomial,Black Sea,10,0.0029921531677246
Polynomial_central_anatolia_f10,Polynomial,Central Anatolia,10,0.0029923915863037
Polynomial_eastern_anatolia_f10,Polynomial,Eastern Anatolia,10,0.0019941329956054
Polynomial_marmara_f10,Polynomial,Marmara,10,0.0029921531677246
Polynomial_mediterranean_f10,Polynomial,Mediterranean,10,0.0039920806884765
Polynomial_southeastern_anatolia_f10,Polynomial,Southeastern Anatolia,10,0.0019950866699218
Polynomial_all_data_f10,Polynomial,all_data,10,0.010972261428833
Polynomial_aegean_f11,Polynomial,Aegean,11,0.0019943714141845
Polynomial_black_sea_f11,Polynomial,Black Sea,11,0.0019943714141845
Polynomial_central_anatolia_f11,Polynomial,Central Anatolia,11,0.0039796829223632
Polynomial_eastern_anatolia_f11,Polynomial,Eastern Anatolia,11,0.0019943714141845
Polynomial_marmara_f11,Polynomial,Marmara,11,0.0019946098327636
Polynomial_mediterranean_f11,Polynomial,Mediterranean,11,0.0009980201721191
Polynomial_southeastern_anatolia_f11,Polynomial,Southeastern Anatolia,11,0.0009973049163818
Polynomial_all_data_f11,Polynomial,all_data,11,0.0119671821594238
Polynomial_aegean_f12,Polynomial,Aegean,12,0.0029840469360351
Polynomial_black_sea_f12,Polynomial,Black Sea,12,0.0019948482513427
Polynomial_central_anatolia_f12,Polynomial,Central Anatolia,12,0.0039894580841064
Polynomial_eastern_anatolia_f12,Polynomial,Eastern Anatolia,12,0.0049972534179687
Polynomial_marmara_f12,Polynomial,Marmara,12,0.0029911994934082
Polynomial_mediterranean_f12,Polynomial,Mediterranean,12,0.0030314922332763
Polynomial_southeastern_anatolia_f12,Polynomial,Southeastern Anatolia,12,0.0039820671081542
Polynomial_all_data_f12,Polynomial,all_data,12,0.0179507732391357
Polynomial_aegean_f13,Polynomial,Aegean,13,0.0039868354797363
Polynomial_black_sea_f13,Polynomial,Black Sea,13,0.0019943714141845
Polynomial_central_anatolia_f13,Polynomial,Central Anatolia,13,0.0019903182983398
Polynomial_eastern_anatolia_f13,Polynomial,Eastern Anatolia,13,0.0019948482513427
Polynomial_marmara_f13,Polynomial,Marmara,13,0.00199556350708
Polynomial_mediterranean_f13,Polynomial,Mediterranean,13,0.0029919147491455
Polynomial_southeastern_anatolia_f13,Polynomial,Southeastern Anatolia,13,0.0029916763305664
Polynomial_all_data_f13,Polynomial,all_data,13,0.0099794864654541
Polynomial_aegean_f14,Polynomial,Aegean,14,0.0039913654327392
Polynomial_black_sea_f14,Polynomial,Black Sea,14,0.0039887428283691
Polynomial_central_anatolia_f14,Polynomial,Central Anatolia,14,0.0039904117584228
Polynomial_eastern_anatolia_f14,Polynomial,Eastern Anatolia,14,0.0039901733398437
Polynomial_marmara_f14,Polynomial,Marmara,14,0.0019948482513427
Polynomial_mediterranean_f14,Polynomial,Mediterranean,14,0.001993179321289
Polynomial_southeastern_anatolia_f14,Polynomial,Southeastern Anatolia,14,0.0179531574249267
Polynomial_all_data_f14,Polynomial,all_data,14,0.034912109375
Polynomial_aegean_f15,Polynomial,Aegean,15,0.0049879550933837
Polynomial_black_sea_f15,Polynomial,Black Sea,15,0.0039887428283691
Polynomial_central_anatolia_f15,Polynomial,Central Anatolia,15,0.0069847106933593
Polynomial_eastern_anatolia_f15,Polynomial,Eastern Anatolia,15,0.0139627456665039
Polynomial_marmara_f15,Polynomial,Marmara,15,0.0079789161682128
Polynomial_mediterranean_f15,Polynomial,Mediterranean,15,0.0069847106933593
